chart_id,seed,control_hard,treatment_hard,attributable_introduced,unattributable,serialization_unattributable,provenance_validation_failures
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,18,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,19,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,20,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,1,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,2,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,3,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,4,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,5,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,6,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,7,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,8,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,9,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,10,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,11,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,12,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,13,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,14,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,15,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,16,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,17,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,18,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,19,0,0,0,0,0,0
DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,20,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,1,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,2,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,3,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,4,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,5,0,0,0,0,0,0
